Symbol,NRI_1050V1,NRI_1097V1,NRI_2016V1,NRI_2020V5,NRI_2042V4,NRI_1050V1,NRI_1097V1,NRI_2016V1,NRI_2020V5,NRI_2042V4
GADD45A,1.194789858,0.874385788,0.656072028,1.311939371,1.040550809,0.66217744,0.882733806,1.494436496,0.656502213,1.202376017
HCK,0.723173153,0.727629577,0.961034458,2.114685495,1.444410568,0.378397963,1.809420122,0.367382741,2.462909891,2.761424044
HMGA1,0.539131841,0.967853225,1.700598574,1.575480786,2.117715481,0.043425847,3.603246265,1.131500984,3.609198248,1.620924552
HTATSF1,0.551173919,0.920504642,1.184255153,0.950633693,1.254241322,0.521214881,1.26633111,0.905530953,0.815432886,1.23883325
IFNA1,2.09266959,1.283328302,1.068875673,1.152108798,1.009195208,2.015230767,2.640174973,1.721964778,1.434355316,3.621606667
INFB1,0.989464184,2.092874333,2.775390718,0.857114344,2.520754718,2.016603873,4.216681614,1.109245269,2.284162947,2.088597157
IFNG,4.136984958,14.74109874,3.477918636,1.352962332,0.753472448,12.19752247,1.926361581,7.20507307,1.38959918,1.413355932
IL10,28.03567341,38.63488501,11.29661238,8.72967096,7.61036808,6.653004652,6.319966855,27.59956675,5.730259156,27.21724052
IL12B,1.939646933,1.189487255,2.481854359,5.505874615,0.935399644,1.867870683,1.854011872,1.596049236,2.758864556,3.356783267
IL16,0.292634936,0.805822766,1.360346191,1.151510651,1.519916031,0.320646091,1.31141809,0.752424634,1.348880571,1.020540218
IL1B,41.50561244,20.69810922,3.761239743,4.115006253,2.171158947,29.36477408,7.188029039,20.80433041,2.053733165,36.82127431
IL2,3.034606387,1.104997337,0.324141641,0.334845051,0.412769981,2.77401875,0.556182985,2.820271185,0.292437691,0.19695296
IL8,28.97194171,63.15282541,2.4749721,11.07528389,0.791540409,66.82530168,12.87505058,30.5171883,5.773347994,2.295155528
IRF1,0.753766767,1.821031091,2.008937985,1.488648105,2.813122829,0.818823521,1.433321056,2.315243634,5.355982607,2.960347321
IRF2,0.260792319,0.642923624,1.548258168,0.784950301,1.081378995,0.227127648,1.909966235,0.213639019,0.866732756,0.824379284
KLRD1,0.889107968,1.679245705,2.276380241,0.992716068,1.698495002,0.62781965,1.60523931,2.292183777,1.04130716,0.960654382
LTBR,1.710328235,1.665650616,0.829656786,1.317659284,1.638162415,1.302162296,2.701520142,1.640955606,3.047143146,2.811927003
MAP3K5,0.869010553,2.026750891,1.593097415,1.3424418,2.116771608,0.671328639,3.010207897,1.021698243,1.749921483,2.154684068
MBL2,2.09266959,1.283328302,1.068875673,1.152108798,1.009195208,2.015230767,1.944833854,1.721964778,1.434355316,3.621606667
NFATC1,0.807773875,1.339733695,1.161639192,1.535099548,1.832843537,0.682879238,1.666654201,1.145518976,1.783221519,1.785384703
NFKBIA,2.138223385,3.903677189,0.424614095,1.072935662,0.655468439,3.943985468,1.48199156,2.194388157,0.754918844,1.526942759
PPIA,0.632282371,0.756411216,0.796399393,2.126805084,1.220150039,0.260284529,0.750786259,1.145073509,1.331370319,0.70350538
PRDX1,0.538414415,0.840288476,1.428528406,1.028127745,1.164349916,0.490934548,1.531151141,0.306024482,0.886090741,1.53357695
PTK2B,1.268878426,1.127739011,1.054323999,1.377449507,1.041092419,0.44250366,1.50257299,1.888328792,1.749715592,1.751951621
RBL2,0.33860326,0.445781687,0.745770831,1.028049999,0.836960095,0.25151669,0.726806012,0.599207896,0.520262886,0.489332841
SELL,0.249516774,0.844042201,0.921778722,1.016436312,0.87600708,0.358891325,0.854573475,0.300540438,0.999656267,0.696896919
SERPINA1,0.993351494,2.187446861,1.054479012,1.348144262,1.328006668,1.202254257,1.731675191,1.557957621,1.922977325,2.138689307
SERPINC1,0.111731833,2.400860594,0.438935215,1.05260812,1.541970578,0.652408958,3.716331615,1.242488039,2.785313241,5.07861745
SLPI,0.523980736,9.918066503,0.278447907,0.845090222,0.880656357,1.904151683,1.827544022,0.241708422,0.655400676,0.95725615
SMARCB1,0.666780709,1.08908907,1.321833544,1.459207848,1.12874078,0.538860486,1.676710063,0.935241117,1.61754688,1.173228427
STAT1,1.149987451,3.74064597,5.612645554,3.117067259,4.014176323,0.643908329,2.974507535,1.415028161,8.797742229,6.183985391
STAT3,0.941553419,1.227808261,1.012510065,1.129641281,1.351449567,0.979306097,1.264362129,1.46415027,1.500842544,1.593219158
TFCP2,0.211310211,0.749531875,1.526236367,0.978158617,1.419441067,0.250324038,2.489395475,0.278315192,0.646989016,0.737362571
TGFB1,0.809063689,2.332705598,1.205827277,1.401512077,1.828295598,0.746504551,1.642254761,2.235572688,2.143572317,2.198550015
TNF,5.323316005,17.33593771,1.077531771,1.717957687,2.663551848,30.52136842,1.907212312,6.058266763,3.143557656,9.364169388
TNFRSF1B,1.124286487,2.653059046,2.317128704,3.272762776,3.370818583,1.148375168,2.95802031,1.527300117,4.358964927,2.907570757
TNFSF10,1.84018728,1.093117443,2.126006123,1.668535236,1.676101902,1.083924784,2.101857869,0.746302652,6.18417507,2.620801499
TRIM5,0.323150662,1.512839232,2.121063857,1.500139896,2.037025449,0.346518439,2.359031956,0.520356439,1.618362288,1.654615553
TSG101,2.394490994,1.915843122,1.358832716,0.918678803,1.626688251,1.863071779,1.765297232,3.378476352,2.216329378,2.640564542
VPS4A,0.669503668,1.216982104,1.226365713,1.200883963,1.56515484,0.671404973,1.584014968,1.689127855,1.812120041,1.513909656
XCL1,3.691967367,2.440966068,1.291942835,0.864706455,6.839276371,1.728824031,4.904815652,6.334513715,0.783399551,3.09299029
XPO1,0.421319458,0.723508626,1.407454667,0.68442462,1.189720964,0.421507771,1.492753311,0.967096269,0.710199605,1.087841143
YY1,0.913262105,1.416621832,1.147915235,1.158479192,1.369755847,1.405808487,1.601831213,1.256522755,0.939652535,0.812105248
B2M,0.919342679,1.995123169,1.446744858,1.155478709,1.269922963,1.373374123,1.226250278,0.973921993,1.006193128,1.13869975
HPRT1,0.807083002,1.165329358,1.422276067,0.982267434,1.248212057,1.025855673,1.059381428,0.895299683,0.935881326,1.114551411
RPL13A,1.055623909,0.430932847,0.593210131,0.421607867,0.684406885,1.009868418,0.691194928,0.93685138,0.527164369,0.665737439
GAPDH,2.350090465,0.989267458,0.99770746,0.97468429,0.83102307,1.336660605,1.113371158,1.917935413,1.663513297,1.369117828
ACTB,0.543263565,1.008923595,0.821130854,2.144053578,1.109192183,0.525822222,1.000294813,0.638267479,1.210948143,0.864463901
GDC,1.82230946,1.117530124,0.930783465,1.757084431,0.878813351,1.75487526,2.722669988,1.499497446,1.7754778,3.153717205
RTC1,1.826201621,1.375630713,1.17771686,1.439270264,1.0372448,1.43375772,1.730366606,1.577767804,1.90353149,4.567577038
RTC2,1.865783179,1.420251241,1.112426268,1.450863019,1.100180509,1.389175597,1.705948069,1.683223475,1.851906559,4.219338268
RTC3,1.790479585,1.416607224,1.157022338,1.44194583,1.088907663,1.463963679,1.881380341,1.883056548,1.915170505,4.537931993
PPC1,2.189387652,1.061160817,0.84186591,1.268768384,0.807671786,1.275656659,1.22674549,2.268923401,1.393501616,2.791133067
PPC2,2.26905479,1.059809812,0.877294029,1.305623424,0.720660721,1.243973234,1.263261372,1.705721193,1.404964201,2.670281299
PPC3,2.294839976,1.018538848,0.980371968,1.379675218,0.773803898,1.326715085,1.39999056,1.858700939,1.556186845,2.785409721
