Symbol,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6
PRDX1,1.664797296,0.250557332,0.422693063,3.228442126,1.756763888,0.350588665,1.130845359,0.872345055,0.4059793,1.06303651
PTK2B,0.852593185,3.219395917,0.659723393,0.622599706,0.886978227,1.378041124,1.798584516,1.321665439,1.284110359,1.357599815
RBL2,2.135055097,0.728145188,0.434263846,1.18090373,1.254309642,1.01532452,0.481115398,0.515932165,0.357249687,1.399807334
SELL,10.94200945,6.10895009,5.281909734,7.342020483,0.000385771,0.567784862,1.134253841,1.283847923,0.426309893,1.17229659
SERPINA1,0.876555286,0.817909931,0.822227603,1.168633182,1.451593249,1.020104241,2.274609514,1.809890008,1.308519971,1.502685431
SERPINC1,0.584413472,1.419927567,0.299832505,3.32417754,1.209067833,0.026420824,0.825313413,0.910942984,0.315608566,4.762489047
SLPI,0.659303125,1.465735316,0.844524625,1.261361533,0.971420835,0.87084912,0.999403606,2.381441608,0.603133836,0.681181529
SMARCB1,1.29345226,0.90579437,1.461520837,0.734305371,0.795313332,1.524803598,1.009739187,1.071312425,1.346273029,1.141897279
STAT1,1.69914184,0.469143008,0.93199981,0.909078899,1.480633994,1.689734488,3.498394075,1.597230904,2.864625073,1.674439008
STAT3,1.002262985,1.577752368,0.86809307,0.748998941,0.972594871,1.656225039,1.177566461,1.274656949,1.422511131,1.104419853
TFCP2,1.995484566,0.451195472,0.521547539,1.035218061,2.057127233,0.702917254,0.954200148,0.801724355,0.362829135,1.40101781
TGFB1,1.01642798,1.425726934,2.426123309,0.412615355,0.689332537,2.764392282,0.954792743,1.646397815,2.305302959,1.085302225
TNF,0.718827457,1.097491776,2.33172509,0.424355382,1.281052734,6.18628482,1.649045453,95.81970846,3.631081143,1.642945776
TNFRSF1B,1.530251,0.891076227,2.847060879,0.365561401,0.704636901,1.803598315,0.855772591,1.497902822,2.552428682,1.35845012
TNFSF10,1.451931053,0.265615884,0.401589212,1.736412019,3.718477365,0.671046814,2.39798213,0.855830068,1.761002109,2.434954229
TRIM5,1.959351357,0.378702149,0.602471412,1.327111551,1.685567058,0.978970823,1.257377575,1.236481925,0.933087713,1.38046379
TSG101,0.871213937,1.286568584,0.755657368,1.287693055,0.916864101,2.016178408,1.323760409,1.928654038,3.110611415,1.090969127
VPS4A,1.59504093,0.963546579,1.198868697,0.605687357,0.896056356,2.21676191,0.78769832,1.207962193,1.453934918,1.123425899
XCL1,0.26438979,1.672434126,0.507789261,3.384515217,1.31591039,2.010323813,1.845045296,6.393097612,1.712365865,1.021558584
XPO1,1.601060119,0.632481853,0.506615649,1.25923512,1.547956892,0.962080442,0.920853006,2.416833579,0.956592972,0.994597004
YY1,1.438076549,1.055301293,0.607663012,0.981774598,1.104503083,1.799007825,0.756907794,1.11249657,2.065855724,0.972171664
B2M,1.365032083,0.788891203,0.795942145,1.097360036,1.063186337,1.122872631,1.0458253,1.071718996,1.298303481,0.889700835
HPRT1,1.277115313,0.839782492,0.69065599,1.130169196,1.194532096,0.869918195,0.922537772,0.915342405,1.004214583,0.907210953
RPL13A,0.988775816,1.280164555,0.912812338,0.937722015,0.922955479,1.534229133,0.78074105,1.093852709,1.150665127,0.82851398
GAPDH,0.562321936,1.290470658,1.547759621,1.122897868,0.792908495,0.968625883,1.263449108,1.517606128,1.248190274,0.908705435
ACTB,1.031677996,0.913696872,1.287572529,0.765760613,1.075942263,0.688881932,1.050731935,0.614069562,0.53403228,1.645601786
GDC,0.39778791,0.607518743,0.763994814,15.92026488,0.340210755,1.397059601,1.01505582,1.760686902,1.681756277,0.986044861
RTC1,0.678284085,1.424787802,1.699782631,1.077495587,0.564975086,1.658079397,1.683596929,1.89765273,1.779068588,1.568584856
RTC2,0.661341566,1.493557544,1.758158448,1.012553169,0.568691022,1.695607905,1.686049362,1.874418799,1.760109248,1.544534818
RTC3,0.682571086,1.47673079,1.679072548,1.05188083,0.561713395,1.85974511,1.680296579,1.820802871,1.724838375,1.624651188
PPC1,0.627123978,1.213715843,1.713642713,1.633697926,0.469285934,1.400244155,1.112469213,1.310773625,1.384438307,1.246314089
PPC2,0.707237634,1.153660431,1.715632577,1.481070583,0.482343688,1.274082092,1.02357482,1.391831273,1.39071294,1.232900872
PPC3,0.573020338,1.31147704,2.045743293,1.592938616,0.40833734,1.231602458,1.133725817,1.674376581,1.608686134,1.435958605
